"Y";"log";"ridge";"lasso";"elastic";"foret";"adabo";"logibo";"svm";"pm";"arbre"
"0";0,00825214351462012;0,0151121553873429;0,0443307830617303;0,0226734865480919;0,042;0,0272265447649195;0,0516745702037715;0,022073747824059;0,329978078603745;0,101228501228501
"1";0,723021807219065;0,697155181123168;0;0;0;0;0;0;0,335972279310226;0
"0";0,214339999819388;0,20919575718779;0;0;0;0;0;0;0,335972279310226;0
"1";0,384978165434168;0,353035972556563;0;0;0;0;0;0;0,335972279310226;0
"0";0,287992714420858;0,324602885261011;0;0;0;0;0;0;0,330786824226379;0
"0";0,0409824357716704;0,0734388846598892;0;0;0;0;0;0;0,330786824226379;0
"1";0,0686734425429917;0,079429831829179;0,130557869155508;0,0814023965592313;0,088;0,0534269339934298;0,0830747931835735;0,0914765971495819;0,329978078603745;0,101228501228501
"0";0,362653784941403;0,372477220334178;0;0;0;0;0;0;0,335972279310226;0
"0";0,0568120373194086;0,0677579579311111;0;0;0;0;0;0;0,330786824226379;0
"0";0,0165691081418692;0,0271397269051908;0;0;0;0;0;0;0,330786824226379;0
"0";0,0377083426040129;0,0477912503729328;0,0911808599579314;0,064105954772431;0,086;0,0664724481979801;0,0824098791324716;0,0541775357515667;0,329978078603745;0,101228501228501
"0";0,686394454570652;0,663578341548507;0;0;0;0;0;0;0,339202433824539;0
"0";0,331052922992543;0,32571939982049;0;0;0;0;0;0;0,339202433824539;0
"0";0,0270881741147086;0,0382598383586114;0;0;0;0;0;0;0,339202433824539;0
"1";0,268579264718445;0,345901752691886;0;0;0;0;0;0;0,335972279310226;0
"0";0,0764836992294525;0,0654270709902069;0,121626698587636;0,0803309366149724;0,08;0,0757027022752235;0,0909107795355938;0,0723225750566657;0,329978078603745;0,101228501228501
"1";0,920713341500968;0,90219211651507;0,790518441951794;0,873461159784089;0,69;0,814644757549605;0,796714365813434;0,903978119861969;0,329978078603745;0,680829015544041
"0";0,201516586893297;0,177159412466162;0;0;0;0;0;0;0,339202433824539;0
"0";0,0267568513216239;0,0447627791123452;0;0;0;0;0;0;0,330786824226379;0
"1";0,826586963725761;0,764361924743045;0;0;0;0;0;0;0,339202433824539;0
"0";0,193445649913905;0,232155499810614;0;0;0;0;0;0;0,335972279310226;0
"0";0,115213396718204;0,116139500788683;0,160044286809655;0,121520716988234;0,148;0,0974860241034017;0,123714350537292;0,152269926451327;0,329978078603745;0,101228501228501
"1";0,562280662474215;0,565057234001699;0,611604192420248;0,57744831681597;0,606;0,601618981654489;0,59729611937377;0,615293467173121;0,329978078603745;0,574358974358974
"0";0,105380065192286;0,12454197652553;0;0;0;0;0;0;0,372178733348846;0
"0";0,160349730584259;0,163286654324075;0;0;0;0;0;0;0,339202433824539;0
"0";0,0263996838936735;0,0424472018021667;0;0;0;0;0;0;0,330786824226379;0
"1";0,647379880099055;0,533541612561709;0;0;0;0;0;0;0,330786824226379;0
"0";0,777044671814562;0,705433310894567;0;0;0;0;0;0;0,330786824226379;0
"1";0,638772230976873;0,581775921835733;0;0;0;0;0;0;0,315956264734268;0
"0";0,0535632339054766;0,0745448650340261;0;0;0;0;0;0;0,330786824226379;0
"0";0,240909709772196;0,215552332179837;0,321887063693795;0,277394915714111;0,318;0,282146206980424;0,316151061339167;0,187535863808196;0,329978078603745;0,680829015544041
"0";0,0525114733584562;0,0912827657685819;0;0;0;0;0;0;0,339202433824539;0
"1";0,678699452703386;0,683756769253868;0;0;0;0;0;0;0,335972279310226;0
"0";0,122291996534224;0,12317570492606;0;0;0;0;0;0;0,339202433824539;0
"1";0,715508095544975;0,636703940298124;0;0;0;0;0;0;0,350110411643982;0
"0";0,138141444983659;0,150419408868293;0;0;0;0;0;0;0,330786824226379;0
